room_id,room_type,object_id,true_category,detected_as,center_x,center_z,confidence,label_correct
room_001_classroom,classroom,1,chair,chair,2.018,3.89,0.836,True
room_001_classroom,classroom,2,chair,chair,3.402,3.044,0.898,True
room_001_classroom,classroom,3,door,door,1.568,2.753,0.636,True
room_001_classroom,classroom,4,bookshelf,bookshelf,1.153,2.474,0.688,True
room_001_classroom,classroom,5,bookshelf,bookshelf,0.834,3.01,0.919,True
room_001_classroom,classroom,6,chair,chair,2.459,4.002,0.695,True
room_001_classroom,classroom,7,chair,chair,0.724,4.351,0.944,True
room_002_classroom,classroom,1,chair,chair,2.198,3.22,0.92,True
room_002_classroom,classroom,2,table,table,2.297,2.389,0.572,True
room_002_classroom,classroom,3,door,window,6.742,2.758,0.353,False
room_002_classroom,classroom,4,door,door,7.42,4.407,0.606,True
room_002_classroom,classroom,5,door,door,4.733,5.093,0.783,True
room_002_classroom,classroom,6,chair,chair,8.489,1.109,0.852,True
room_002_classroom,classroom,7,bookshelf,bookshelf,1.719,1.203,0.789,True
room_002_classroom,classroom,8,bookshelf,bookshelf,5.152,3.319,0.771,True
room_003_classroom,classroom,1,door,door,6.94,3.595,0.8,True
room_003_classroom,classroom,2,table,table,4.733,1.666,0.615,True
room_003_classroom,classroom,3,desk,desk,8.105,6.292,0.745,True
room_003_classroom,classroom,4,chair,chair,3.465,6.8,0.646,True
room_003_classroom,classroom,5,chair,chair,5.209,0.761,0.876,True
room_003_classroom,classroom,6,door,door,4.888,0.906,0.929,True
room_003_classroom,classroom,7,door,door,4.936,4.375,0.922,True
room_003_classroom,classroom,8,window,window,6.136,5.021,0.819,True
room_004_meeting_room,meeting_room,1,table,table,1.692,3.745,0.578,True
room_004_meeting_room,meeting_room,2,bookshelf,bookshelf,3.836,1.003,0.924,True
room_004_meeting_room,meeting_room,3,table,table,2.932,3.25,0.626,True
room_004_meeting_room,meeting_room,4,table,table,2.55,1.969,0.842,True
room_004_meeting_room,meeting_room,5,chair,chair,5.669,0.584,0.686,True
room_004_meeting_room,meeting_room,6,door,door,1.705,0.951,0.719,True
room_005_office,office,1,chair,cabinet,5.046,0.608,0.366,False
room_005_office,office,2,bookshelf,bookshelf,2.669,1.373,0.948,True
room_005_office,office,3,bookshelf,bookshelf,3.898,0.685,0.937,True
room_005_office,office,4,chair,counter,3.049,2.284,0.426,False
room_005_office,office,5,chair,sofa,1.08,2.861,0.317,False
room_005_office,office,6,door,door,4.584,1.241,0.778,True
room_005_office,office,7,desk,desk,0.822,0.51,0.776,True
room_005_office,office,8,cabinet,cabinet,1.722,1.999,0.656,True
room_005_office,office,9,cabinet,cabinet,3.63,1.481,0.924,True
room_005_office,office,10,window,bed,3.403,1.81,0.353,False
room_006_living_room,living_room,1,table,table,3.704,4.976,0.901,True
room_006_living_room,living_room,2,chair,chair,5.859,4.194,0.663,True
room_006_living_room,living_room,3,cabinet,cabinet,2.397,3.91,0.752,True
room_006_living_room,living_room,4,table,table,5.679,0.709,0.882,True
room_006_living_room,living_room,5,window,window,2.493,0.752,0.615,True
room_006_living_room,living_room,6,door,door,4.702,3.131,0.928,True
room_006_living_room,living_room,7,cabinet,cabinet,1.343,0.396,0.771,True
room_006_living_room,living_room,8,door,door,0.659,2.124,0.939,True
room_007_living_room,living_room,1,chair,chair,1.433,0.782,0.621,True
room_007_living_room,living_room,2,cabinet,cabinet,1.189,3.984,0.715,True
room_007_living_room,living_room,3,window,window,3.685,1.118,0.831,True
room_007_living_room,living_room,4,window,window,0.7,2.166,0.917,True
room_007_living_room,living_room,5,door,door,4.135,3.946,0.814,True
room_007_living_room,living_room,6,window,window,1.729,0.352,0.69,True
room_008_meeting_room,meeting_room,1,chair,chair,2.828,1.695,0.652,True
room_008_meeting_room,meeting_room,2,window,window,0.68,3.639,0.838,True
room_008_meeting_room,meeting_room,3,table,window,3.616,1.596,0.456,False
room_008_meeting_room,meeting_room,4,chair,chair,0.88,3.503,0.817,True
room_008_meeting_room,meeting_room,5,bookshelf,bookshelf,3.673,2.224,0.816,True
room_008_meeting_room,meeting_room,6,door,door,4.002,0.714,0.712,True
room_008_meeting_room,meeting_room,7,table,table,1.921,1.129,0.793,True
room_008_meeting_room,meeting_room,8,door,door,2.512,2.694,0.867,True
room_009_office,office,1,cabinet,cabinet,0.735,1.577,0.628,True
room_009_office,office,2,door,door,2.623,0.951,0.552,True
room_009_office,office,3,door,door,3.853,0.454,0.62,True
room_009_office,office,4,door,door,2.743,0.254,0.889,True
room_009_office,office,5,desk,desk,3.839,2.339,0.788,True
room_009_office,office,6,desk,desk,4.27,2.073,0.752,True
room_009_office,office,7,chair,chair,2.885,2.981,0.74,True
room_009_office,office,8,desk,desk,1.577,2.204,0.759,True
room_009_office,office,9,cabinet,cabinet,1.652,0.373,0.659,True
room_009_office,office,10,window,window,2.84,0.604,0.828,True
room_010_classroom,classroom,1,table,table,0.595,2.461,0.891,True
room_010_classroom,classroom,2,desk,desk,3.823,4.908,0.791,True
room_010_classroom,classroom,3,table,window,2.254,2.966,0.467,False
room_010_classroom,classroom,4,window,window,6.127,5.59,0.942,True
room_010_classroom,classroom,5,bookshelf,bookshelf,7.603,3.959,0.584,True
room_010_classroom,classroom,6,door,door,7.282,1.212,0.681,True
room_010_classroom,classroom,7,window,window,3.183,5.839,0.93,True
room_010_classroom,classroom,8,door,door,7.026,3.161,0.571,True
room_010_classroom,classroom,9,table,table,2.287,0.717,0.566,True
